ear,mar,duracion_cierre,etiqueta
0.0284,0.1147,5.811,normal
0.0802,0.1934,6.738,normal
0.2247,0.1744,0.0,normal
0.1554,0.2101,0.091,normal
0.1317,0.2136,0.406,normal
0.0484,0.2136,0.738,normal
0.0202,0.1974,0.996,normal
0.0182,0.1973,1.227,normal
0.032,0.1803,2.572,fatiga
0.0258,0.1802,2.77,fatiga
0.0441,0.1333,2.87,fatiga
0.078,0.0361,3.065,fatiga
0.1231,0.0322,3.227,fatiga
0.1633,0.0161,3.399,fatiga
0.028,0.2339,4.375,microsueno
0.228,0.0645,0.0,microsueno
0.0336,0.0484,0.456,microsueno
0.033,0.0161,0.513,microsueno
0.0388,0.0323,0.545,microsueno
0.0388,0.0161,0.588,microsueno
0.0258,0.0323,0.665,microsueno
0.0199,0.0323,0.697,microsueno
0.0057,0.0323,0.735,microsueno
0.0117,0.0323,0.763,microsueno
0.025,0.0323,0.82,microsueno
0.1101,0.0232,1.572,microsueno
